Effect List,Effect List,Effect,Effect,Effect,Effect,Effect,Effect,Effect,Effect,,,,,
2015,MOR_BUFF_EM_DivineReplenish,1616,,,,,,,,,,,,
2016,MOR_CAST_EM_DivineReplenish,1617,,,,,,,,,,,,
2017,MOR_Heal_BUFF_EM_DivineAegis,1618,,,,,,,,,,,,
2018,ATK_DW_ShieldSwipe,1619,,,,,,,,,,,,
2019,IMPACT_DW_Large_2,1620,,,,,,,,,,,,
2020,BUFF_DW_INT&Will_Body,1621,,,,,,,,,,,,
2021,BUFF_DW_INT&Will_Head,1622,,,,,,,,,,,,
2022,DBUF_DW_AtkSpeed,1623,,,,,,,,,,,,
2023,BUFF_CoporialResist,1624,,,,,,,,,,,,
2024,BUF_DW_APBuff,1625,,,,,,,,,,,,
2025,DeBUFF_DW_Defense01,1626,,,,,,,,,,,,
2026,BUFF_DW_Speed,1627,,,,,,,,,,,,
2027,BUFF_DW_Absorbshield,1628,,,,,,,,,,,,
2028,BUFF_DW_ParryIncrease,1629,,,,,,,,,,,,
2029,DBUF_DW_CritDown,1630,,,,,,,,,,,,
2030,BUFF_DW_Initiative,1631,,,,,,,,,,,,
2031,IMPACT_DW_LowSlash,1632,,,,,,,,,,,,
2032,BUFF_DW_ShieldBuff,1633,,,,,,,,,,,,
2033,BUILD_EM_Stealth,1634,,,,,,,,,,,,
2034,PROJ_GS_Choppa,1635,,,,,,,,,,,,
;,2035,,,,,,,,,,,,,
;,2036,,,,,,,,,,,,,
2037,IMPACT_GS_BlackOrc01,1638,,,,,,,,,,,,
2038,IMPACT_GS_BlackOrc02,1639,,,,,,,,,,,,
2039,IMPACT_GS_BlackOrc03,1640,,,,,,,,,,,,
2040,IMPACT_GS_BlackOrc04,1641,,,,,,,,,,,,
2041,IMPACT_GS_BlackOrc05,1642,,,,,,,,,,,,
;,2042,,,,,,,,,,,,,
2043,IMPACT_GS_BlackOrc07,1644,,,,,,,,,,,,
2044,IMPACT_GS_BlackOrc08,1645,,,,,,,,,,,,
2045,PROP_DW_ThrowingAxe,1646,,,,,,,,,,,,
2046,DeBUFF_GS_Coporeal,1647,,,,,,,,,,,,
2047,DeBUFF_GS_Strength01,1648,,,,,,,,,,,,
2048,BUFF_GS_Strength01,1649,,,,,,,,,,,,
2049,DeBUFF_GS_FIG_Toughness01,2088,,,,,,,,,,,,
2050,BUFF_GS_FIG_Toughness01,2001,,,,,,,,,,,,
2051,BUFF_GS_Resist,2002,,,,,,,,,,,,
2052,DeBUFF_GS_Defense01,2003,,,,,,,,,,,,
2053,BUFF_GS_Defense,2004,,,,,,,,,,,,
2054,BUFF_GS_Absorbshield,2005,,,,,,,,,,,,
2055,IMPACT_GS_BlackOrc09,2006,,,,,,,,,,,,
;,2056,,,,,,,,,,,,,
2057,HIT_GS_Knockback,2008,,,,,,,,,,,,
2058,AOE_GS_Wave01,2009,,,,,,,,,,,,
;,2059,,,,,,,,,,,,,
2060,CAST_EM_Incognito,1404,,,,,,,,,,,,
2061,CAST_DE_Stealth,2011,,,,,,,,,,,,
;,2062,,,,,,,,,,,,,
2063,IMPACT_AOE_EM_SigmarsRadiance,2013,,,,,,,,,,,,
2064,BUFF_EM_Absorbshield,2014,,,,,,,,,,,,
2065,AOE_EM_LOOP_Heallight,2015,,,,,,,,,,,,
2066,MOR_DeBUFF_EM_ReverseFortune,2016,,,,,,,,,,,,
2067,MOR_CAST_EM_ReverseFortune,2017,,,,,,,,,,,,
2068,MOR_AOE_EM_WitchfinderProtection,2018,,,,,,,,,,,,
2069,MOR_PROJ_EM_HolyBlade,2019,,,,,,,,,,,,
2070,MOR_AOE_EM_Excommunicate,2020,,,,,,,,,,,,
2071,MOR_AOE_EM_Expurgation,2021,,,,,,,,,,,,
2072,BUFF_EM_Healshield,2022,,,,,,,,,,,,
;,2073,,,,,,,,,,,,,
2074,IMPACT_HE_LifeTransfer,2024,,,,,,,,,,,,
2075,DeBUFF_HE_Spirit,2025,,,,,,,,,,,,
2076,DBUF_HE_LifeSiphon,2026,,,,,,,,,,,,
2077,BUFF_HE_LifeSiphon,2027,,,,,,,,,,,,
2078,DBUF_DE_LifeSiphon,2028,,,,,,,,,,,,
2079,BUFF_DE_LifeSiphon,2029,,,,,,,,,,,,
2080,IMPACT_HE_LifeTransfer_Out,2030,,,,,,,,,,,,
2081,DE_IMPACT_ConsumeEnchantment,2031,,,,,,,,,,,,
2082,Impact_DE_ConsumeTh,2032,,,,,,,,,,,,
2083,BUFF_DE_Absorbshield,2033,,,,,,,,,,,,
;,2084,,,,,,,,,,,,,
2085,Buff_DE_Souldrain,2035,,,,,,,,,,,,
2086,IMPACT_CH_MagicalImpact,2036,,,,,,,,,,,,
2087,CH_Heal_LeapingHeal,2037,,,,,,,,,,,,
2088,IMPACT_DE_Soulhit,2038,,,,,,,,,,,,
2089,BUFF_CH_AbsorbPulse,2039,,,,,,,,,,,,
2090,BUF_CH_APBuff,2040,,,,,,,,,,,,
2091,BUFF_CH_FIG_Toughness01,2041,,,,,,,,,,,,
2092,PtoP_CH_EnergyBolt,2042,,,,,,,,,,,,
2093,AOE_DE_DevourEs,2043,,,,,,,,,,,,
2094,AOE_CH_ChaoticAgitation,2044,,,,,,,,,,,,
2095,AOE_CH_WindsofInsanity,2045,,,,,,,,,,,,
2096,CONE_DE_WaveDismis,2046,,,,,,,,,,,,
2097,BUFF_GS_ShieldHit,2047,,,,,,,,,,,,
2098,BUFF_GS_ShoutGlow01,2048,516,,,,,,,,,,,
2099,BUFF_GS_ShoutGlow02,2049,516,,,,,,,,,,,
2100,MOR_AOE_EM_ConflagofDoom,2050,,,,,,,,,,,,
2101,MOR_CONE_EM_BurningHead,2051,,,,,,,,,,,,
2102,MOR_BUFF_EM_HeartofFire,2052,,,,,,,,,,,,
2103,MOR_AOE_EM_RuinofDestro,2053,,,,,,,,,,,,
2104,MOR_IMPACT_EM_MagicDart,2054,,,,,,,,,,,,
2105,MOR_PROJ_EM_MagicDart,2055,,,,,,,,,,,,
2106,BUF_GS_APBuff,2056,,,,,,,,,,,,
2107,PROJ_GS_APOrb,2057,,,,,,,,,,,,
;,2108,,,,,,,,,,,,,
2109,PROJ_GS_WaaghBall,2059,,,,,,,,,,,,
2110,AOE_GS_WaaghWave01,2060,,,,,,,,,,,,
2111,ATK_GS_Barbs,2061,,,,,,,,,,,,
2112,IMPACT_GS_Barbs,2062,,,,,,,,,,,,
2113,DBUF_GS_DoT01,2063,,,,,,,,,,,,
2114,IMPACT_GS_BrainBursta,2064,,,,,,,,,,,,
2115,IMPACT_GS_Waaghchannel,2065,,,,,,,,,,,,
2116,PtoP_GS_WaaghBeam2,2066,,,,,,,,,,,,
2117,BUFF_GS_RemoveDebuff,2067,,,,,,,,,,,,
2118,AOE_GS_Gorksbuffs,2068,,,,,,,,,,,,
2119,AOE_GS_WaaghWave02,2069,,,,,,,,,,,,
2120,DEBUF_GS_Cooldowns,2070,,,,,,,,,,,,
2121,BUFF_GS_INT&Will_Head,2071,,,,,,,,,,,,
;,2122,,,,,,,,,,,,,
2123,BUFF_GS_RemoveDebuff,2073,,,,,,,,,,,,
2124,BUFF_GS_INT&Will_Body&Head,2071,2072,,,,,,,,,,,
2125,BUFF_GS_AblativeHit,2074,,,,,,,,,,,,
2126,DBUF_GS_Speed,2075,,,,,,,,,,,,
2127,DBUF_GS_APDebuff,2076,,,,,,,,,,,,
;,2128,,,,,,,,,,,,,
2129,DBUF_GS_INT&Will_Body,2078,,,,,,,,,,,,
2130,DBUF_GS_INT&Will_Head&Body,2077,2078,,,,,,,,,,,
2131,BUFF_GS_ParryIncrease,2079,,,,,,,,,,,,
2132,IMPACT_GS_HeadHit01,2080,,,,,,,,,,,,
2133,ATK_GS_MovementBarbs,2081,,,,,,,,,,,,
2134,IMPACT_GS_MovementBarbs,2082,,,,,,,,,,,,
2135,BUFF_GS_Healshield,2083,,,,,,,,,,,,
2136,Impact_GS_apdown_Hit,2076,1644,,,,,,,,,,,
2137,BUFF_GS_FIG_Damage,2084,,,,,,,,,,,,
2138,AOE_GS_Morksbuffs,2085,,,,,,,,,,,,
2139,AOE_GS_GooBlast,2086,,,,,,,,,,,,
2140,CONE_GS_WaveBigun,2087,,,,,,,,,,,,
2141,GS_AOE_Heal,2089,,,,,,,,,,,,
2142,DBUF_GS_Silence,2090,,,,,,,,,,,,
2143,GS_Heal_High,2091,,,,,,,,,,,,
2144,GS_CONE_WaaghBlast,2092,,,,,,,,,,,,
2145,BUFF_CH_Healshield,2093,,,,,,,,,,,,
2146,BUFF_GS_WaaghBuild,2094,,,,,,,,,,,,
2147,BUFF_GS_Stats,2095,,,,,,,,,,,,
2148,DBUFF_GS_Stats,2096,,,,,,,,,,,,
2149,AOE_GS_WaaghWave_Detaunt,2097,,,,,,,,,,,,
2150,AOE_GS_WaaghWave03,2098,,,,,,,,,,,,
2151,GS_HEAL_Ressurection,2099,,,,,,,,,,,,
2152,DeBUFF_DW_Evasion,2100,,,,,,,,,,,,
2153,dwarf grenade projectile Above head,2101,,,,,,,,,,,,
2154,BUFF_DW_FADE_FadeOut,2102,,,,,,,,,,,,
2155,CONE_DW_CrackedEarth,2103,,,,,,,,,,,,
2156,HEAL_DW_Highheal,2104,,,,,,,,,,,,
2157,DW_Heal_Regen,2105,,,,,,,,,,,,
2158,ATK_DW_FirePillar,2106,,,,,,,,,,,,
2159,BUFF_DW_Healshield,2107,,,,,,,,,,,,
2160,BUFF_DW_BalisticUP,2108,,,,,,,,,,,,
2161,DW_Heal_JumpingRegen,2109,,,,,,,,,,,,
2162,AOE_DW_GroupHeal,2110,,,,,,,,,,,,
2163,DBUF_DW_Dispel,2111,,,,,,,,,,,,
2164,AOE_DW_SunderEarth,2112,,,,,,,,,,,,
2165,BUFF_DW_WoundsUp,2113,,,,,,,,,,,,
2166,ATK_DW_Spellbinding,2114,,,,,,,,,,,,
2167,DBUF_DW_TransferOut,2115,,,,,,,,,,,,
2168,BUFF_DW_TransferIn,2116,306,311,,,,,,,,,,
2169,ATK_DW_Burning,2117,,,,,,,,,,,,
2170,IMPACT_DW_Transfer2,2118,,,,,,,,,,,,
2171,BUFF_DW_TransferIN2,2119,308,,,,,,,,,,,
2172,BUFF_DW_ElectricalPulse,2120,,,,,,,,,,,,
2173,AOE_DW_GroupRez,2121,,,,,,,,,,,,
2174,Snare_DW_Barbwire,2122,,,,,,,,,,,,
2175,Heal_DW_Keg01,2123,,,,,,,,,,,,
2176,AOE_DW_Keg01,2124,,,,,,,,,,,,
2177,CONE_Gunblast_Huge,2125,,,,,,,,,,,,
2178,Cast_Turret_Repair,2126,,,,,,,,,,,,
2179,Impact_Turret_Steam,2127,,,,,,,,,,,,
2180,Cast_Turret_Steam,2128,,,,,,,,,,,,
2181,Impact_DW_Phosphorus01,2129,913,,,,,,,,,,,
2182,Impact_DW_SignalFlare,2130,,,,,,,,,,,,
2183,AOE_DW_MightLightning,2131,,,,,,,,,,,,
2184,Impact_Bomb_Pepper,2132,,,,,,,,,,,,
2185,GEN_Mount_Summon,2133,,,,,,,,,,,,
2186,IMPACT_DW_MagicRune01,2134,,,,,,,,,,,,
2187,IMPACT_DW_MagicRune02,2135,,,,,,,,,,,,
2188,IMPACT_DW_MagicRune03,2136,,,,,,,,,,,,
2189,Impact_DW_Acid,2137,,,,,,,,,,,,
2190,Impact_DW_Concussion,2138,,,,,,,,,,,,
2191,DBUFF_SmallFlash,2139,,,,,,,,,,,,
2192,Snare_DW_Barbwire_Small,2140,,,,,,,,,,,,
2193,BUFF_DW_Resist,2141,,,,,,,,,,,,
2194,CONE_DW_Flame,2142,,,,,,,,,,,,
2195,BUFF_DW_Sniper,2143,2155,,,,,,,,,,,
2196,Impact_DW_Phosph_Targets,2144,,,,,,,,,,,,
2197,CAST_DW_TurretCrate,2145,,,,,,,,,,,,
2198,PROJ_DW_Grenade_Acid,2146,,,,,,,,,,,,
2199,PROJ_DW_Grenade_Fire,2147,,,,,,,,,,,,
2200,Cast_DW_HighExplosive_Loop,2149,,,,,,,,,,,,
2201,Cast_DW_HighExplosive,2150,,,,,,,,,,,,
2202,Prop_DW_Button,2151,,,,,,,,,,,,
2203,Impact_DW_FireBurn01,2152,,,,,,,,,,,,
2204,Impact_DW_SmallGrenade,2153,,,,,,,,,,,,
2205,Cast_Gunblast_NoSmoke,2154,,,,,,,,,,,,
2206,AOE_GS_SquigExplode,2156,,,,,,,,,,,,
2207,BUFF_GS_PinPants,2157,,,,,,,,,,,,
2208,IMPACT_GS_ArrowBomb,2158,,,,,,,,,,,,
2209,IMPACT_GS_ArrowPierce Impact,2159,,,,,,,,,,,,
2210,IMPACT_GS_ArrowPierce_Med with bleed,2160,,,,,,,,,,,,
2211,IMPACT_GS_LRtoULSlash,2161,,,,,,,,,,,,
2212,IMPACT_GS_Pierce Impact,2162,,,,,,,,,,,,
2213,IMPACT_GS_PoisonArrow,2163,,,,,,,,,,,,
2214,IMPACT_GS_SquigGoo,2164,,,,,,,,,,,,
2215,PET_GS_SquigExplode,2165,,,,,,,,,,,,
2216,PROJ_GS_BombArrow,2166,,,,,,,,,,,,
2217,ATK_GS_StickySquigs,2167,2168,,,,,,,,,,,
2218,IMPACT_GS_ArrowPierce_Med2,2169,,,,,,,,,,,,
2219,Impact_GS_BehindYa,2170,,,,,,,,,,,,
2220,Impact_GS_Plague,2171,,,,,,,,,,,,
2221,CONE_GS_SpinSlash,2172,,,,,,,,,,,,
2222,Impact_GS_DontHitMe,2173,,,,,,,,,,,,
2223,Impact_GS_FinishEm,2174,,,,,,,,,,,,
2224,Impact_GS_WotArmor,2175,,,,,,,,,,,,
2225,Impact_GS_Shrapnel,2176,,,,,,,,,,,,
2226,Cast_Summon_Squig,2177,,,,,,,,,,,,
2227,BUFF_GS_SquigFrenzy,2178,2252,,,,,,,,,,,
2228,IMPACT_GS_ArrowChoking,2179,,,,,,,,,,,,
2229,IMPACT_GS_DropThat,2180,,,,,,,,,,,,
2230,DBUF_GS_Healdown,2181,,,,,,,,,,,,
2231,Impact_GS_SpinSlash,2182,,,,,,,,,,,,
2232,MOR_BUFF_CH_ScaledSkin,2183,,,,,,,,,,,,
2233,MOR_BUFF_CH_SproutCarapace,2184,,,,,,,,,,,,
2234,MOR_BUFF_CH_TzeentchsAmplification,2185,,,,,,,,,,,,
2235,MOR_CAST_CH_InevitableChanging,2186,,,,,,,,,,,,
2236,MOR_CONE_CH_WarpingEmbrace,2187,,,,,,,,,,,,
2237,MOR_IMPACT_CH_InevitableChanging,2188,,,,,,,,,,,,
2238,MOR_IMPACT_CH_ShatterFaith,2189,,,,,,,,,,,,
2239,MOR_CHIMPACT__WarpingEmbrace,2190,,,,,,,,,,,,
2240,vfx_Weapontrail_Changing1,2191,,,,,,,,,,,,
2241,MOR_AOE_CH_ShatterFaith,2192,,,,,,,,,,,,
2242,MOR_AOE_CH_SproutCarapace,2193,,,,,,,,,,,,
2243,MOR_BUFF_CH_InevitableChanging,2194,,,,,,,,,,,,
2244,CAST_GS_StickySquigs,2195,,,,,,,,,,,,
2245,BUFF_GS_CritUpChance,2196,,,,,,,,,,,,
2246,DeBUF_GS_Initiative,2197,,,,,,,,,,,,
2247,IMPACT_GS_Interrupt,2198,,,,,,,,,,,,
2248,AOE_GS_AggroWave,2199,,,,,,,,,,,,
2249,IMPACT_GS_LegShot,2200,,,,,,,,,,,,
2250,PET_BUFF_GS_SpikeShield,2201,,,,,,,,,,,,
2251,PET_PROJ_GS_Spines,2202,,,,,,,,,,,,
2252,PET_IMPACT_GS_Spines,2203,,,,,,,,,,,,
2253,PET_PROJ_GS_Goop,2204,,,,,,,,,,,,
2254,PET_AOE_GS_Goop,2205,,,,,,,,,,,,
2255,PET_AOE_GS_BadGass,2206,,,,,,,,,,,,
2256,PET_IMPACT_GS_Gore,2207,,,,,,,,,,,,
2257,PET_IMPACT_GS_HeadButt,2208,,,,,,,,,,,,
2258,PET_IMPACT_GS_Claw,2209,,,,,,,,,,,,
2259,PET_ATK_GS_Chomp,2210,,,,,,,,,,,,
2260,BUFF_GS_Tasty,2211,,,,,,,,,,,,
2261,IMPACT_GS_GoopArrow,2212,,,,,,,,,,,,
2262,PROJ_GS_ShootThroughYa,2213,,,,,,,,,,,,
2263,PET_IMPACT_GS_Claw,2214,,,,,,,,,,,,
2264,BUFF_GS_Initiative,2215,,,,,,,,,,,,
2265,GS_Burn_Status_Green,2216,,,,,,,,,,,,
2266,PET_PROJ_GS_Spines_Auto,2217,,,,,,,,,,,,
2267,PROJ_GS_ChokingArrowTip,2218,,,,,,,,,,,,
2268,PROJ_GS_PoisonArrowTip,2219,,,,,,,,,,,,
2269,PROJ_GS_NotSoFastArrowTip,2220,,,,,,,,,,,,
2270,PROJ_GS_StopRunnintArrow,2221,,,,,,,,,,,,
2271,IMPACT_GS_Footstab,2222,,,,,,,,,,,,
2272,Cast_DW_SelfDestruct,2223,,,,,,,,,,,,
2273,Cast_Summon_SquigArmor,2224,2225,,,,,,,,,,,
2274,BUFF_DW_CrackShot,2226,2227,,,,,,,,,,,
2275,Impact_DW_MultiFire,2228,,,,,,,,,,,,
2276,PROP_LOOP_MorterFiring,2229,,,,,,,,,,,,
2277,PROJ_Bullet_Blue,2230,,,,,,,,,,,,
2278,Cast_Gunblast_Blue,2231,,,,,,,,,,,,
2279,Proj_DW_SignalFlare,2232,,,,,,,,,,,,
2280,Cast_Summon_SquigArmor_Squig,2233,,,,,,,,,,,,
2281,ICON_GEN_Crate,2292,,,,,,,,,,,,
2282,DeBUF_CH_Initiative,2520,,,,,,,,,,,,
2283,DeBUF_DE_Initiative,2521,,,,,,,,,,,,
2284,DeBUF_EM_Initiative,2522,,,,,,,,,,,,
2285,ICON_NPC_Trainer_Inactive,2238,,,,,,,,,,,,
2286,DeBUF_HE_Initiative,2523,,,,,,,,,,,,
2287,ICON_NPC_PQ_Inactive,2240,,,,,,,,,,,,
;,2288,,,,,,,,,,,,,
2289,PET_GS_ROOT_ArmorExplode,2242,2156,,,,,,,,,,,
2289,Debuff_DW_SignalFlare,2243,,,,,,,,,,,,
2290,PROP_DW_GrenadeBase,2244,,,,,,,,,,,,
2291,PROP_DW_GrenadeAcid,2245,,,,,,,,,,,,
2292,PROP_DW_GrenadeFire,2246,,,,,,,,,,,,
2293,Stun_DW_turret,2247,,,,,,,,,,,,
2294,Arrow Projectile Orc High Lob,2248,,,,,,,,,,,,
2295,Arrow Projectile Orc No arc,2249,,,,,,,,,,,,
2296,PROJ_GS_NotSoFastArrowTip,2250,,,,,,,,,,,,
2297,CAMERASHAKE_Subtle_Long Dur,2251,,,,,,,,,,,,
2298,BUFF_GS_SquigFrenzyCorona,2252,,,,,,,,,,,,
2299,PROJ_GEN_CannonBall,2253,,,,,,,,,,,,
2300,PROJ_GS_RottenArrow,2254,,,,,,,,,,,,
2301,MOR_CH_TzeenchsTalon,2255,,,,,,,,,,,,
2302,MOR_DeBUFF_CH_TzeenchsTalon,2256,,,,,,,,,,,,
2303,MOR_AOE_CH_EyeofSheerian,2257,,,,,,,,,,,,
2304,MOR_AOE_CH_SupresstheFragile,2258,,,,,,,,,,,,
2305,MOR_DeBUFF_CH_SupresstheFragile,2259,,,,,,,,,,,,
2306,MOR_AOE_CH_TzeenchsReversal,2260,,,,,,,,,,,,
2307,MOR_AOE_CH_Windblock,2261,,,,,,,,,,,,
2308,PROJ_Vomit,2262,,,,,,,,,,,,
2309,MOR_IMPACT_HE_DisarmSilence,2263,,,,,,,,,,,,
2310,MOR_AOE_HE_DisarmSilence,2264,,,,,,,,,,,,
2311,MOR_Impacts_HE_Bladeswipes,2265,,,,,,,,,,,,
2312,MOR_AOE_HE_Bladeswipes,2266,,,,,,,,,,,,
2313,MOR_Impact_HE_Arrow_Penetrating,2267,,,,,,,,,,,,
2314,MOR_Cast_HE_Arrow_Penetrating,2268,,,,,,,,,,,,
2315,MOR_PROJ_HE_Arrow_Penetrating,2269,,,,,,,,,,,,
2316,MOR_impact_HE_Rain_Steal,2270,,,,,,,,,,,,
2317,MOR_impact_HE_Signal_Snipers,2271,,,,,,,,,,,,
2318,MOR_impact_HE_Rain_Steal_Ground,2272,,,,,,,,,,,,
2319,MOR_DeBuff_HE_Signal_Snipers,2273,,,,,,,,,,,,
2320,MOR_Buff_HE_Remove_LsForgiveness,2274,,,,,,,,,,,,
2321,MOR_HE_ShadowBlades,2275,,,,,,,,,,,,
2322,MOR_HE_ShieldofValor,2276,,,,,,,,,,,,
2323,MOR_HE_WhirlingGeyser,2277,,,,,,,,,,,,
2324,MOR_HE_BladeShield,2278,,,,,,,,,,,,
2325,MOR_HE_Cast_WingsofHeaven,2279,,,,,,,,,,,,
2326,MOR_HE_GuardofSteel,2280,,,,,,,,,,,,
2327,MOR_HE_Land_WingsofHeaven,2281,,,,,,,,,,,,
2328,MOR_CH_FlamesofFate,2282,,,,,,,,,,,,
2329,MOR_CONE_CH_GreatFang,2283,,,,,,,,,,,,
2330,MOR_BUFF_CH_TzeenchsReversal,2284,,,,,,,,,,,,
2331,MOR_IMPACT_CH_TzeenchsReversal,2285,,,,,,,,,,,,
2332,MOR_IMPACT_CH_LashingPower,2286,,,,,,,,,,,,
2333,MOR_BUFF_CH_LashingPower,2287,,,,,,,,,,,,
2334,MOR_IMPACT_CH_ForkedAgression,2288,,,,,,,,,,,,
2335,MOR_PROJ_CH_ForkedAgression,2289,,,,,,,,,,,,
2336,MOR_BUFF_CH_ForkedAgression,2290,,,,,,,,,,,,
2337,MOR_AOE_CH_Tenticles,2291,,,,,,,,,,,,
2338,DBUF_GEN_LOOP_MagicBarb,2293,,,,,,,,,,,,
2339,DBUF_GEN_LOOP_MeleeBarb,2294,,,,,,,,,,,,
2340,DBUF_GEN_LOOP_MovementBarb,2295,,,,,,,,,,,,
2341,DBUF_GEN_LOOP_RangedBarb,2296,,,,,,,,,,,,
2342,IMPACT_GEN_MagicBarbs,2297,,,,,,,,,,,,
2343,IMPACT_GEN_RangedBarbs,2298,,,,,,,,,,,,
2344,AOE_GS_Juggernaut,2299,,,,,,,,,,,,
2345,AOE_GS_PushTheLine,2300,,,,,,,,,,,,
2346,AOE_CH_Juggernaut,2301,,,,,,,,,,,,
2347,AOE_CH_PushTheLine,2302,,,,,,,,,,,,
2348,AOE_DW_Juggernaut,2303,,,,,,,,,,,,
2349,AOE_DW_PushTheLine,2304,,,,,,,,,,,,
2350,AOE_HE_Juggernaut,2305,,,,,,,,,,,,
2351,AOE_HE_PushTheLine,2306,,,,,,,,,,,,
2352,BUFF_HE_ShoutGlow01,2307,,,,,,,,,,,,
2353,DBUF_HE_DoT01,2308,,,,,,,,,,,,
2354,Buff01_GS_PushTheLine,2309,,,,,,,,,,,,
2355,Buff02_GS_PushTheLine,2310,,,,,,,,,,,,
2356,Buff01_CH_PushTheLine,2311,,,,,,,,,,,,
2357,Buff02_CH_PushTheLine,2312,,,,,,,,,,,,
2358,Buff01_DW_PushTheLine,2313,,,,,,,,,,,,
2359,Buff02_DW_PushTheLine,2314,,,,,,,,,,,,
2360,Buff01_HE_PushTheLine,2315,,,,,,,,,,,,
2361,Buff02_HE_PushTheLine,2316,,,,,,,,,,,,
2362,ATK_CH_DemonicLash,2317,,,,,,,,,,,,
2363,ATK_CH_MutatingBlueFire,2318,,,,,,,,,,,,
2364,ATK_CH_SurgingVioletFire,2319,,,,,,,,,,,,
2365,ATK_CH_SwatAside,2320,,,,,,,,,,,,
2366,BUFF_CH_AgonizingTorrent,2321,,,,,,,,,,,,
2367,ATK_WarpingBlast,2322,,,,,,,,,,,,
2368,BUFF_CH_BoonofTzeentch,2323,,,,,,,,,,,,
2369,CAST_CH_TheftofWords,2324,,,,,,,,,,,,
2370,CH_HEAL_ThrallHeal,2325,,,,,,,,,,,,
2371,CONE_CH_InfernalBlast,2326,,,,,,,,,,,,
2372,DBUF_CH_GleanMagic,2327,,,,,,,,,,,,
2373,DBUF_CH_HorrifyingVisions,2328,,,,,,,,,,,,
2374,IMPACT_CH_AgonizingTorrent,2329,,,,,,,,,,,,
2375,IMPACT_CH_DemonicLash,2330,,,,,,,,,,,,
2376,IMPACT_CH_DissolvingMist,2331,,,,,,,,,,,,
2377,IMPACT_CH_FlickeringRedFire,2332,,,,,,,,,,,,
2378,IMPACT_CH_InfernalBlast,2333,,,,,,,,,,,,
2379,PROJ_CH_DissolvingMist,2334,,,,,,,,,,,,
2380,PROJ_CH_FlickeringRedFire,2335,,,,,,,,,,,,
2381,PROJ_CH_TheftofWords,2336,,,,,,,,,,,,
2382,SPEC_CH_HorrorRing_Blue,2337,2340,,,,,,,,,,,
2383,SPEC_CH_HorrorRing_Flamer,2338,2341,,,,,,,,,,,
2384,SPEC_CH_HorrorRing_Pink,2339,2342,,,,,,,,,,,
2385,SPEC_CH_HorrorSwirls_Blue,2340,,,,,,,,,,,,
2386,SPEC_CH_HorrorSwirls_Flamer,2341,,,,,,,,,,,,
2387,SPEC_CH_HorrorSwirls_Pink,2342,,,,,,,,,,,,
2388,ATK_CH_SurgeofInsanity,2343,,,,,,,,,,,,
2389,Buff_HE_Trained01,2344,2421,,,,,,,,,,,
2390,Buff_HE_Trained02,2345,2421,,,,,,,,,,,
2391,Buff_HE_Trained03,2346,2421,,,,,,,,,,,
2392,Impact_HE_WhiteLion01,2347,,,,,,,,,,,,
2393,Impact_HE_WhiteLion02,2348,,,,,,,,,,,,
2394,Impact_HE_WhiteLion03,2349,,,,,,,,,,,,
2395,Impact_HE_WhiteLion04,2350,,,,,,,,,,,,
2396,Impact_HE_WhiteLion05 slash,2351,,,,,,,,,,,,
2397,Impact_HE_WhiteLion06 blunt,2352,,,,,,,,,,,,
2398,Impact_HE_WhiteLion07 blunt,2353,,,,,,,,,,,,
2399,Impact_HE_LionClaw01,2354,,,,,,,,,,,,
2400,Impact_HE_LionClaw02 eth,2355,,,,,,,,,,,,
2401,Impact_HE_LionClaw03 eth nb,2356,,,,,,,,,,,,
2402,Impact_HE_LionBite01,2357,,,,,,,,,,,,
2403,Impact_HE_LionBite02 eth neck,2358,,,,,,,,,,,,
2404,DeBuff_HE_illusions01,2359,2347,,,,,,,,,,,
2405,Cast_HE_WhiteLion01,2360,,,,,,,,,,,,
2406,Cast_HE_SummonLion01,2361,,,,,,,,,,,,
2407,CAE_HE_Slahing01,2362,,,,,,,,,,,,
2408,AOE_HE_Submission,2363,,,,,,,,,,,,
2409,Impact_HE_WhiteLion08 eth slash,2364,,,,,,,,,,,,
2410,Impact_HE_LionBite03 eth,2365,,,,,,,,,,,,
2411,BUILD_CH_Magus_Purple,2366,,,,,,,,,,,,
2412,BUILD_CH_Magus_red,2367,,,,,,,,,,,,
2413,BUILD_CH_Magus_blue,2368,,,,,,,,,,,,
2414,CAST_CH_MagusSwirls,2369,,,,,,,,,,,,
2415,Impact_HE_LionClaw01_leg,2371,,,,,,,,,,,,
2416,Claw and bite,2355,2358,,,,,,,,,,,
2417,Cast_HE_RoarLion01,2372,,,,,,,,,,,,
2418,Cast_HE_RoarLion02,2373,,,,,,,,,,,,
2419,PROJ_PET_Fireball01,2374,,,,,,,,,,,,
2420,IMPACT_CH_PET_Fireball01,2375,,,,,,,,,,,,
2421,ATK_CH_PET_DemonicConsumption,2376,,,,,,,,,,,,
2422,BUFF_CH_Tactic_Heal,2377,,,,,,,,,,,,
2423,PtoP_CH_BoltofChange,2378,,,,,,,,,,,,
2424,Build_CH_BoltofChange,2379,,,,,,,,,,,,
2425,IMPACT_CH_BoltofChange,2380,,,,,,,,,,,,
2426,ATK_CH_Perilsofwarp,2381,,,,,,,,,,,,
2427,AOE_CH_TzeetchsFirestorm,2382,,,,,,,,,,,,
2428,IMPACT_CH_TzeetchsFirestorm,2383,,,,,,,,,,,,
