Information,,NIF,Effect,Effect List
441,WORLD OBJ qi_dw_wallpipe01,qi_dw_wallpipe01,,
442,WORLD OBJ qi_dw_wallpipe01_damaged ,qi_dw_wallpipe01_damaged,,
443,WORLD OBJ qi_go_cauldron02,qi_go_cauldron02,,
444,WORLD OBJ em_siege_mortar01,em_siege_mortar01,,
445,WORLD OBJ em_building_merchant01,em_building_merchant01,,
446,WORLD OBJ or_pile_trash02,or_pile_trash02,,
447,WORLD OBJ or_prop_crate02,or_prop_crate02,,
448,WORLD OBJ vfx_em_treeOst01_var00_burning,vfx_em_treeOst01_var00_burning,,
449,WORLD OBJ dw_BFP_plant01,dw_BFP_plant01,,
450,WORLD OBJ vfx_ch_EngeryPrision01,vfx_ch_EngeryPrision01 ,,
451,WORLD OBJ vfx_CAOS_Pillar_Change_In,vfx_CAOS_Pillar_Change_In,,
452,WORLD OBJ vfx_CAOS_Pillar_Break,vfx_CAOS_Pillar_Break,,
453,WORLD OBJ vfx_ORDR_Pillar_Together&Protected,vfx_ORDR_Pillar_Together&Protected,,
454,WORLD OBJ vfx_ORDR_Pillar_ProtectedLoop,vfx_ORDR_Pillar_ProtectedLoop,,
455,WORLD OBJ vfx_ORDR_Pillar_ProtectedFade,vfx_ORDR_Pillar_ProtectedFade,,
456,WORLD OBJ vfx_ORDR_Pillar_ChangeLoop,vfx_ORDR_Pillar_ChangeLoop,,
457,WORLD OBJ vfx_ORDR_Pillar_Change_Interrupt,vfx_ORDR_Pillar_Change_Interrupt,,
458,WORLD OBJ vfx_ORDR_Pillar_Change_In,vfx_ORDR_Pillar_Change_In,,
459,WORLD OBJ vfx_ORDR_Pillar_Break,vfx_ORDR_Pillar_Break,,
460,WORLD OBJ vfx_NTRL_Pillar_WhiteLight,vfx_NTRL_Pillar_WhiteLight,,
461,WORLD OBJ vfx_CAOS_Pillar_Together&Protected,vfx_CAOS_Pillar_Together&Protected,,
462,WORLD OBJ vfx_CAOS_Pillar_ProtectedLoop,vfx_CAOS_Pillar_ProtectedLoop,,
463,WORLD OBJ vfx_CAOS_Pillar_ProtectedFade,vfx_CAOS_Pillar_ProtectedFade,,
464,WORLD OBJ vfx_CAOS_Pillar_ChangeLoop,vfx_CAOS_Pillar_ChangeLoop,,
465,WORLD OBJ dw_roadmarker01_base,dw_roadmarker01_base,,
466,WORLD OBJ em_books_04,em_books_04,,
467,WORLD OBJ em_cemetery_gravestone03,em_cemetery_gravestone03,,
468,WORLD OBJ em_shrine_01,em_shrine_01,,
469,WORLD OBJ em_cups_06,em_cups_06,,
470,WORLD OBJ em_plow_01,em_plow_01,,
471,WORLD OBJ qi_dw_statue01_ruined,qi_dw_statue01_ruined,,
472,WORLD OBJ dw_pushcart01,dw_pushcart01,,
473,WORLD OBJ or_skullstakes_01,or_skullstakes_01,,
474,WORLD OBJ dw_mine_barrow,dw_mine_barrow,,
475,WORLD OBJ dw_prop_chest01,dw_prop_chest01,,
476,WORLD OBJ ge_lumber_pile05,ge_lumber_pile05,,
477,WORLD OBJ em_crate_03,em_crate_03,,
478,WORLD OBJ dw_banner_medium_03,dw_banner_medium_03,,
479,WORLD OBJ dw_strategytable01_book,dw_strategytable01_book,,
480,WORLD OBJ qi_go_head,qi_go_head,,
481,WORLD OBJ qi_go_gunbad_stalagtites01,qi_go_gunbad_stalagtites01,,
482,WORLD OBJ or_prop_teefbag01,or_prop_teefbag01,,
483,WORLD OBJ em_wine_barrel_01,em_wine_barrel_01,,
484,WORLD OBJ QI_dw_axe01,QI_dw_axe01,,
485,WORLD OBJ qi_go_gooballs01,qi_go_gooballs01,,
486,WORLD OBJ vfx_scrollfire_01,vfx_scrollfire_01,,
487,WORLD OBJ Qi_torch_unlit,Qi_torch_unlit,,
488,WORLD OBJ qi_or_effigy_mork,qi_or_effigy_mork,,
489,WORLD OBJ qi_dw_barrel_stack01,qi_dw_barrel_stack01,,
490,WORLD OBJ DW_tree_pine01_var01sw ,DW_tree_pine01_var01sw,,
491,WORLD OBJ qi_mo_ruins_marsh_pillar01,qi_mo_ruins_marsh_pillar01,,
492,WORLD OBJ vfx_QI_EmpireBrazier_Fire,vfx_QI_EmpireBrazier_Fire,,
493,WORLD OBJ vfx_QI_bonfire_Flames,vfx_QI_bonfire_Flames,,
494,WORLD OBJ vfx_QI_OldCampfire_Flames,vfx_QI_OldCampfire_Flames,,
495,WORLD OBJ em_cups_02,em_cups_02,,
496,WORLD OBJ dw_tree_pine03_var02sw,dw_tree_pine03_var02sw,,
497,WORLD OBJ dw_fireplaceanim_prop,dw_fireplaceanim_prop,,
498,WORLD OBJ em_torturestake01_corpse,em_torturestake01_corpse,,
499,WORLD OBJ or_plank01,or_plank01,,
500,WORLD OBJ em_basket_apples_01,em_basket_apples_01,,
501,WORLD OBJ em_cemetery_gravestone01,em_cemetery_gravestone01,,
502,WORLD OBJ qi_or_meatbarrel02,qi_or_meatbarrel02,,
503,WORLD OBJ qi_or_meatbarrel01,qi_or_meatbarrel01,,
504,WORLD OBJ Qi_Oldcampfire,Qi_Oldcampfire,,
505,WORLD OBJ dw_flamecannon_prop,dw_flamecannon_prop,,
506,WORLD OBJ dw_cannon01_prop,dw_cannon01_prop,,
507,WORLD OBJ em_torturestake01,em_torturestake01,,
508,WORLD OBJ dw_prop_wagon01,dw_prop_wagon01,,
509,WORLD OBJ dw_prop_wagon02,dw_prop_wagon02,,
510,WORLD OBJ dw_gyrodestroyed,dw_gyrodestroyed,,
511,WORLD OBJ dw_mine_cart01,dw_mine_cart01,,
512,WORLD OBJ dw_mining_equip_01,dw_mining_equip_01,,
513,WORLD OBJ dw_mining_equip_02,dw_mining_equip_02,,
514,WORLD OBJ dw_mining_equip_03,dw_mining_equip_03,,
515,WORLD OBJ dw_mining_equip_04,dw_mining_equip_04,,
516,WORLD OBJ dw_mining_equip_05,dw_mining_equip_05,,
517,WORLD OBJ ch_prop_chest02,ch_prop_chest02,,
518,WORLD OBJ ch_road_brazier01_fire,ch_road_brazier01_fire,,
519,WORLD OBJ ch_banner04,ch_banner04,,
520,WORLD OBJ ge_lumber_pile01,ge_lumber_pile01,,
521,WORLD OBJ de_rvr_borderbanner_d,de_rvr_borderbanner_d,,
522,WORLD OBJ ge_tent01_medium,ge_tent01_medium,,
523,WORLD OBJ qi_go_hole01,qi_go_hole01,,
524,WORLD OBJ dw_statue01,dw_statue01,,
525,WORLD OBJ qi_go_hole01_collapsed,qi_go_hole01_collapsed,,
526,WORLD OBJ qi_or_cage03,qi_or_cage03,,
527,WORLD OBJ or_hut01,or_hut01,,
528,WORLD OBJ or_hut01_destroyed,or_hut01_destroyed,,
529,WORLD OBJ ch_banner05,ch_banner05,,
530,WORLD OBJ ch_banner06,ch_banner06,,
531,WORLD OBJ ch_dead_maurauder_m_01,ch_dead_maurauder_m_01,,
532,WORLD OBJ qi_dw_startercity_statue01,qi_dw_startercity_statue01,,
533,WORLD OBJ qi_dw_stein01,qi_dw_stein01,,
534,WORLD OBJ qi_dw_book01,qi_dw_book01,,
535,WORLD OBJ QI_gate_lever01,QI_gate_lever01,,
536,WORLD OBJ qi_dw_prop_barrel01_lid,qi_dw_prop_barrel01_lid,,
537,WORLD OBJ qi_go_tools01,qi_go_tools01,,
538,WORLD OBJ qi_ge_spidercocoon01,qi_ge_spidercocoon01,,
539,WORLD OBJ qi_em_bedroll01,qi_em_bedroll01,,
540,WORLD OBJ dw_dead02_skeleton,dw_dead02_skeleton,,
541,WORLD OBJ ch_dead_maurauder_m_02,ch_dead_maurauder_m_02,,
542,NPC_DW_Grenade_01,NPC_DW_Grenade_01,,
543,WORLD OBJ dw_rvr_borderbanner_n,dw_rvr_borderbanner_n,,
544,WORLD OBJ dw_rvr_borderbanner_o,dw_rvr_borderbanner_o,,
545,WORLD OBJ dw_rvr_borderbanner_d,dw_rvr_borderbanner_d,,
546,DW_Axe_1H_T3_03,DW_Axe_1H_T3_03,,
547,DW_Axe_1H_T4_01,DW_Axe_1H_T4_01,,
548,DW_Axe_1H_T4_02,DW_Axe_1H_T4_02,,
549,DW_Axe_1H_T4_03,DW_Axe_1H_T4_03,,
550,WORLD OBJ em_rvr_borderbanner_n,em_rvr_borderbanner_n,,
551,DW_Hammer_1H_T3_01,DW_Hammer_1H_T3_01,,
552,DW_Hammer_1H_T3_02,DW_Hammer_1H_T3_02,,
553,DW_Hammer_1H_T4_01,DW_Hammer_1H_T4_01,,
554,DW_Hammer_1H_T4_02,DW_Hammer_1H_T4_02,,
555,WORLD OBJ em_rvr_borderbanner_o,em_rvr_borderbanner_o,,
556,DW_Spanner_2H_TE_01,DW_Spanner_2H_TE_01,,
557,DW_Axe_2H_T3_03,DW_Axe_2H_T3_03,,
558,DW_Axe_2H_T4_01,DW_Axe_2H_T4_01,,
559,DW_Axe_2H_T4_02,DW_Axe_2H_T4_02,,
560,DW_Axe_2H_T4_03,DW_Axe_2H_T4_03,,
561,DW_Hammer_2H_T3_02,DW_Hammer_2H_T3_02,,
562,DW_Hammer_2H_T3_03,DW_Hammer_2H_T3_03,,
563,DW_Hammer_2H_T4_01,DW_Hammer_2H_T4_01,,
564,DW_Hammer_2H_T4_02,DW_Hammer_2H_T4_02,,
565,WORLD OBJ em_rvr_borderbanner_d,em_rvr_borderbanner_d,,
566,WORLD OBJ he_rvr_borderbanner_n,he_rvr_borderbanner_n,,
567,DW_Shield_TE_01,DW_Shield_TE_01,,
568,DW_Shield_T3_01,DW_Shield_T3_01,,
569,DW_Shield_T3_02,DW_Shield_T3_02,,
570,WORLD OBJ he_rvr_borderbanner_o,he_rvr_borderbanner_o,,
571,DW_Shield_T3_04,DW_Shield_T3_04,,
572,T1 _DW_1H_Axe01,T1 _DW_1H_Axe01,,
573,T1 _DW_1H_Axe02,T1 _DW_1H_Axe02,,
574,WORLD OBJ he_rvr_borderbanner_d,he_rvr_borderbanner_d,,
575,WORLD OBJ or_rvr_borderbanner_n,or_rvr_borderbanner_n,,
576,DW_Axe_1H_T1_01,DW_Axe_1H_T1_01,,
577,DW_Axe_1H_T1_02,DW_Axe_1H_T1_02,,
578,DW_Axe_1H_T1_03,DW_Axe_1H_T1_03,,
579,DW_Axe_1H_T2_01,DW_Axe_1H_T2_01,,
580,NPC_DW_Dagger_01,NPC_DW_Dagger_01,,
581,WORLD OBJ or_rvr_borderbanner_o,or_rvr_borderbanner_o,,
582,WORLD OBJ or_rvr_borderbanner_d,or_rvr_borderbanner_d,,
583,WORLD OBJ ch_rvr_borderbanner_n,ch_rvr_borderbanner_n,,
584,WORLD OBJ ch_rvr_borderbanner_o,ch_rvr_borderbanner_o,,
585,WORLD OBJ ch_rvr_borderbanner_d,ch_rvr_borderbanner_d,,
586,WORLD OBJ vfx_rvr_indicator_o,vfx_rvr_indicator_o,,
587,WORLD OBJ vfx_rvr_indicator_d,vfx_rvr_indicator_d,,
588,WORLD OBJ vfx_rvr_indicator_n,vfx_rvr_indicator_n,,
589,WORLD OBJ ch_city_Lyceum_case01,ch_city_Lyceum_case01,,
590,WORLD OBJ ch_city_Lyceum_case01_breaking,ch_city_Lyceum_case01_breaking,,
591,DW_Hammer_1H_T1_01,DW_Hammer_1H_T1_01,,
592,DW_Hammer_1H_T1_03,DW_Hammer_1H_T1_03,,
593,DW_Hammer_1H_T1_02,DW_Hammer_1H_T1_02,,
594,WORLD OBJ ch_city_Lyceum_case02,ch_city_Lyceum_case02,,
595,WORLD OBJ ch_city_Lyceum_case02_breaking,ch_city_Lyceum_case02_breaking,,
596,WORLD OBJ ch_city_ScryingPool01,ch_city_ScryingPool01,,
597,WORLD OBJ ch_dead_magus,ch_dead_magus,,
598,WORLD OBJ vfx_ch_vikingship_burning,vfx_ch_vikingship_burning,,
599,DW_Axe_2H_T1_01,DW_Axe_2H_T1_01,,
600,DW_Axe_2H_T1_02,DW_Axe_2H_T1_02,,
601,DW_Axe_2H_T1_03,DW_Axe_2H_T1_03,,
602,DW_Axe_2H_T2_01,DW_Axe_2H_T2_01,,
603,DW_Spanner_1H_T1_01,DW_Spanner_1H_T1_01,,
604,DW_Spanner_1H_T1_02,DW_Spanner_1H_T1_02,,
605,DW_Spanner_1H_T4_01,DW_Spanner_1H_T4_01,,
606,DW_Spanner_1H_TE_01,DW_Spanner_1H_TE_01,,
607,,,,
608,DW_Hammer_2H_T1_01,DW_Hammer_2H_T1_01,,
609,DW_Hammer_2H_T1_03,DW_Hammer_2H_T1_03,,
610,DW_Hammer_2H_T1_02,DW_Hammer_2H_T1_02,,
611,,,,
612,,,,
613,DW_Handgun_1H_T2_01,DW_Handgun_1H_T2_01,,
614,DW_Handgun_1H_T2_02,DW_Handgun_1H_T2_02,,
615,NPC_DW_Crossbow_01,NPC_DW_Crossbow_01,,
616,DW_Handgun_2H_T1_01,DW_Handgun_2H_T1_01,,
617,DW_Handgun_2H_T1_02,DW_Handgun_2H_T1_02,,
618,DW_Shield_T1_01,DW_Shield_T1_01,,
619,DW_Shield_T1_02,DW_Shield_T1_02,,
620,DW_Shield_T1_03,DW_Shield_T1_03,,
621,DW_Shield_T1_04,DW_Shield_T1_04,,
622,DW_Axe_1H_T2_02,DW_Axe_1H_T2_02,,
623,DW_Axe_1H_T2_03,DW_Axe_1H_T2_03,,
624,DW_Axe_1H_T3_01,DW_Axe_1H_T3_01,,
625,DW_Axe_1H_T3_02,DW_Axe_1H_T3_02,,
626,,,,
627,,,,
628,DW_Hammer_1H_T2_01,DW_Hammer_1H_T2_01,,
629,DW_Hammer_1H_T2_02,DW_Hammer_1H_T2_02,,
630,DW_Hammer_1H_T2_03,DW_Hammer_1H_T2_03,,
631,DW_Axe_2H_T2_02,DW_Axe_2H_T2_02,,
632,DW_Axe_2H_T2_03,DW_Axe_2H_T2_03,,
633,DW_Axe_2H_T3_01,DW_Axe_2H_T3_01,,
634,DW_Axe_2H_T3_02,DW_Axe_2H_T3_02,,
635,DW_Hammer_2H_T2_03,DW_Hammer_2H_T2_03,,
636,DW_Hammer_2H_T2_01,DW_Hammer_2H_T2_01,,
637,DW_Hammer_2H_T2_02,DW_Hammer_2H_T2_02,,
638,DW_Hammer_2H_T3_01,DW_Hammer_2H_T3_01,,
639,,,,
640,,,,
641,DW_Handgun_1H_T3_01,DW_Handgun_1H_T3_01,,
642,DW_Handgun_1H_T3_02,DW_Handgun_1H_T3_02,,
643,DW_Handgun_2H_T2_01,DW_Handgun_2H_T2_01,,
644,DW_Handgun_2H_T3_01,DW_Handgun_2H_T3_01,,
645,DW_Shield_T2_01,DW_Shield_T2_01,,
646,DW_Shield_T2_02,DW_Shield_T2_02,,
647,DW_Shield_T2_03,DW_Shield_T2_03,,
648,DW_Shield_T2_04,DW_Shield_T2_04,,
649,NPC_DW_Pick_01,NPC_DW_Pick_01,,
650,,,,
651,,,,
652,,,,
653,,,,
654,,,,
655,,,,
656,,,,
657,,,,
658,,,,
659,,,,
660,,,,
661,,,,
662,,,,
663,Go_Ammo_Arrow,Go_Ammo_Arrow,,
664,Or_Ammo_Arrow,Or_Ammo_Arrow,,
665,NPC_GS_Choppa_1H_01,NPC_GS_Choppa_1H_01,,
666,NPC_GS_Axe_2H_01,NPC_GS_Axe_2H_01,,
667,NPC_GS_Bow_01,NPC_GS_Bow_01,,
668,NPC_GS_Shield_01,NPC_GS_Shield_01,,
669,Or_TH_1H_Axe_08,Or_TH_1H_Axe_08,,
670,GS_Axe_1H_T3_02,GS_Axe_1H_T3_02,,
671,Or_TH_1H_Axe04,Or_TH_1H_Axe04,,
672,GS_Choppa_1H_T4_01,GS_Choppa_1H_T4_01,,
673,GS_Choppa_1H_T4_02,GS_Choppa_1H_T4_02,,
674,GS_Choppa_1H_T3_03,GS_Choppa_1H_T3_03,,
675,Or_TH_1H_Choppa17,Or_TH_1H_Choppa17,,
676,Or_TH_1H_Mace05,Or_TH_1H_Mace05,,
677,Or_TH_1H_Mace06,Or_TH_1H_Mace06,,
678,Or_TH_1H_Mace07,Or_TH_1H_Mace07,,
679,Or_TH_1H_Mace08,Or_TH_1H_Mace08,,
680,Or_TH_1H_Spear05,Or_TH_1H_Spear05,,
681,Or_TH_1H_Spear06,Or_TH_1H_Spear06,,
682,Or_TH_1H_Spear07,Or_TH_1H_Spear07,,
683,Or_TH_1H_Spear08,Or_TH_1H_Spear08,,
684,Or_TH_2H_Glave01,Or_TH_2H_Glave01,,
685,Or_TH_2H_GreatAxe09,Or_TH_2H_GreatAxe09,,
686,Or_TH_2H_GreatAxe10,Or_TH_2H_GreatAxe10,,
687,Or_TH_2H_GreatAxe11,Or_TH_2H_GreatAxe11,,
688,Or_TH_2H_GreatAxe12,Or_TH_2H_GreatAxe12,,
689,GS_Shield_T4_02,GS_Shield_T4_02,,
690,Or_TH_great_shield02,Or_TH_great_shield02,,
691,Or_TH_great_shield03,Or_TH_great_shield03,,
692,GS_Shield_T4_01,GS_Shield_T4_01,,
693,Or_TH_great_shield05,Or_TH_great_shield05,,
694,Or_TH_shield15,Or_TH_shield15,,
695,GS_Shield_T3_01,GS_Shield_T3_01,,
696,GS_Shield_T3_02,GS_Shield_T3_02,,
697,Or_TH_shield18,Or_TH_shield18,,
698,Or_TH_shield19,Or_TH_shield19,,
699,Or_TH_shield20,Or_TH_shield20,,
700,Or_TL_1H_Axe_10,Or_TL_1H_Axe_10,,
701,Or_TL_1H_Axe01,Or_TL_1H_Axe01,,
702,GS_Axe_1H_T1_01,GS_Axe_1H_T1_01,,
703,GS_Axe_1H_T1_02,GS_Axe_1H_T1_02,,
704,Or_TL_1H_Choppa06,Or_TL_1H_Choppa06,,
705,GS_Choppa_1H_T1_03,GS_Choppa_1H_T1_03,,
706,GS_Choppa_1H_T2_01,GS_Choppa_1H_T2_01,,
707,GS_Choppa_1H_T2_02,GS_Choppa_1H_T2_02,,
708,GS_Choppa_1H_T2_04,GS_Choppa_1H_T2_04,,
709,Or_TL_1H_Choppa11,Or_TL_1H_Choppa11,,
710,Or_TL_1H_Choppa12,Or_TL_1H_Choppa12,,
711,GS_Choppa_1H_T1_02,GS_Choppa_1H_T1_02,,
712,Or_TL_1H_Club01,Or_TL_1H_Club01,,
713,Or_TL_1H_Club02,Or_TL_1H_Club02,,
714,Or_TL_1H_Club03,Or_TL_1H_Club03,,
715,Or_TL_1H_Club04,Or_TL_1H_Club04,,
716,Or_TL_1H_Club05,Or_TL_1H_Club05,,
717,Or_TL_1H_Club06,Or_TL_1H_Club06,,
718,Or_TL_1H_Club07,Or_TL_1H_Club07,,
719,Or_TL_1H_Club08,Or_TL_1H_Club08,,
720,Or_TL_1H_Dagger01,Or_TL_1H_Dagger01,,
721,Or_TL_1H_Dagger02,Or_TL_1H_Dagger02,,
722,Or_TL_1H_Dagger03,Or_TL_1H_Dagger03,,
723,Or_TL_1H_Hammer01,Or_TL_1H_Hammer01,,
724,Or_TL_1H_Hammer02,Or_TL_1H_Hammer02,,
725,Or_TL_1H_Quiverl01,Or_TL_1H_Quiverl01,,
726,Or_TL_1H_Spear02,Or_TL_1H_Spear02,,
727,Or_TL_1H_Sword01,Or_TL_1H_Sword01,,
728,Or_TL_1H_Sword02,Or_TL_1H_Sword02,,
729,Or_TL_1H_Sword03,Or_TL_1H_Sword03,,
730,Or_TL_2H_Bone01,Or_TL_2H_Bone01,,
731,GS_Bow_2H_T1_01,GS_Bow_2H_T1_01,,
732,Or_TL_2H_Bow02,Or_TL_2H_Bow02,,
733,Or_TL_2H_GreatAxe02,Or_TL_2H_GreatAxe02,,
734,Or_TL_2H_GreatAxe07,Or_TL_2H_GreatAxe07,,
735,Or_TL_2H_GreatAxe08,Or_TL_2H_GreatAxe08,,
736,GS_Shield_T1_01,GS_Shield_T1_01,,
737,Or_TL_shield02,Or_TL_shield02,,
738,Or_TL_shield03,Or_TL_shield03,,
739,GS_Shield_T1_02,GS_Shield_T1_02,,
740,Or_TL_shield05,Or_TL_shield05,,
741,Or_TL_shield06,Or_TL_shield06,,
742,GS_Shield_T2_01,GS_Shield_T2_01,,
743,Or_TL_shield08,Or_TL_shield08,,
744,Or_TM_1H_Axe_06,Or_TM_1H_Axe_06,,
745,Or_TM_1H_Axe_07,Or_TM_1H_Axe_07,,
746,GS_Axe_1H_T3_01,GS_Axe_1H_T3_01,,
747,GS_Choppa_1H_T3_01,GS_Choppa_1H_T3_01,,
748,Or_TM_1H_Choppa02,Or_TM_1H_Choppa02,,
749,GS_Choppa_1H_T1_01,GS_Choppa_1H_T1_01,,
750,GS_Choppa_1H_T3_02,GS_Choppa_1H_T3_02,,
751,GS_Choppa_1H_T3_04,GS_Choppa_1H_T3_04,,
752,Or_TM_1H_Mace01,Or_TM_1H_Mace01,,
753,Or_TM_1H_Mace03,Or_TM_1H_Mace03,,
754,Or_TM_1H_Mace04,Or_TM_1H_Mace04,,
755,Or_TM_1H_Spear01,Or_TM_1H_Spear01,,
756,Or_TM_1H_Spear03,Or_TM_1H_Spear03,,
757,Or_TM_1H_Spear04,Or_TM_1H_Spear04,,
758,Or_TM_2H_Bow03,Or_TM_2H_Bow03,,
759,Or_TM_2H_GreatAxe01,Or_TM_2H_GreatAxe01,,
760,Or_TM_2H_GreatAxe03,Or_TM_2H_GreatAxe03,,
761,Or_TM_2H_GreatAxe04,Or_TM_2H_GreatAxe04,,
762,Or_TM_2H_GreatAxe05,Or_TM_2H_GreatAxe05,,
763,Or_TM_2H_GreatAxe06,Or_TM_2H_GreatAxe06,,
764,WORLD OBJ qi_em_bell01_animated_OneCycle,qi_em_bell01_animated_OneCycle,,
765,Or_TM_shield09,Or_TM_shield09,,
766,Or_TM_shield10,Or_TM_shield10,,
767,Or_TM_shield11,Or_TM_shield11,,
768,Or_TM_shield12,Or_TM_shield12,,
769,GS_Shield_T2_02,GS_Shield_T2_02,,
770,Or_TH_great_shield03,Or_TM_shield14,,
771,WORLD OBJ QI_OldSack01,QI_OldSack01,,
772,WORLD OBJ Qi_dw_foodtable01,Qi_dw_foodtable01,,
773,WORLD OBJ QI_Gnob_Treehome,QI_Gnob_Treehome,,
774,WORLD OBJ Qi_ValvePipe01,Qi_ValvePipe01,,
775,Or_TH_1H_Sword05,Or_TH_1H_Sword05,,
776,Or_TH_1H_Sword06,Or_TH_1H_Sword06,,
777,Or_TH_1H_Sword07,Or_TH_1H_Sword07,,
778,Or_TH_1H_Sword08,Or_TH_1H_Sword08,,
779,Or_TH_2H_Bow04,Or_TH_2H_Bow04,,
780,Or_TH_1H_Dagger04,Or_TH_1H_Dagger04,,
781,Or_TH_1H_Dagger05,Or_TH_1H_Dagger05,,
782,GS_Staff_2H_T4_02,GS_Staff_2H_T4_02,,
783,Or_TH_2H_Skullstaff07,Or_TH_2H_Skullstaff07,,
784,GS_Staff_2H_T4_03,GS_Staff_2H_T4_03,,
785,GS_Staff_2H_T1_01,GS_Staff_2H_T1_01,,
786,Or_TL_bone1H_Skullclub01,Or_TL_bone1H_Skullclub01,,
787,WORLD OBJ ge_tent01_medium_ruined,ge_tent01_medium_ruined,,
788,WORLD OBJ or_altar01,or_altar01,,
789,WORLD OBJ QI_Goldsack,QI_Goldsack,,
790,WORLD OBJ sk_banner_04,sk_banner_04,,
791,DW_Spanner_2H_T1_01,DW_Spanner_2H_T1_01,,
792,,,,
793,WORLD OBJ Qi_Ge_PartsPile01,Qi_Ge_PartsPile01,,
794,DW_Handgun_1H_T1_02,DW_Handgun_1H_T1_02,,
795,DW_Handgun_1H_T1_01,DW_Handgun_1H_T1_01,,
796,DW_Handgun_2H_T4_01,DW_Handgun_2H_T4_01,,
797,DW_Handgun_2H_T2_02,DW_Handgun_2H_T2_02,,
798,NPC_DW_Crossbow_01,NPC_DW_Crossbow_01,,
799,,,,
800,,,,
801,WORLD OBJ ge_bonfire,ge_bonfire,,
802,WORLD OBJ Qi_bonepile01,Qi_bonepile01,,
803,EM_TL_shield08,EM_TL_shield08,,
804,EM_TL_shield07,EM_TL_shield07,,
805,EM_TL_2H_Handgun01,EM_TL_2H_Handgun01,,
806,WORLD OBJ dw_statue05,dw_statue05,,
807,WORLD OBJ dw_cannon01_destroyed,dw_cannon01_destroyed,200,
808,WORLD OBJ dw_flamecannon_destroyed,dw_flamecannon_destroyed,,
809,WORLD OBJ dw_organgun_destroyed,dw_organgun_destroyed,,
810,WORLD OBJ dw_midfoliage_05,dw_midfoliage_05,,
811,WORLD OBJ dw_piping_12,dw_piping_12,,
812,WORLD OBJ dw_prop_chest03,dw_prop_chest03,,
813,WORLD OBJ dw_prop_wagon03,dw_prop_wagon03,,
814,WORLD OBJ em_siege_cannon01_animated,em_siege_cannon01_animated,,
815,WORLD OBJ mo_ruins_marsh_lrgestonepile,mo_ruins_marsh_lrgestonepile,,
816,WORLD OBJ mo_ruins_marsh01,mo_ruins_marsh01,,
817,WORLD OBJ mo_ruins_marsh02,mo_ruins_marsh02,,
818,WORLD OBJ or_wyvern_egg01,or_wyvern_egg01,,
819,WORLD OBJ or_prop_chest01,or_prop_chest01,,
820,WORLD OBJ dw_prop_pickaxe01,dw_prop_pickaxe01,,
821,WORLD OBJ or_stock01_tower,or_stock01_tower,,
822,WORLD OBJ dw_underwater_mines01,dw_underwater_mines01,,
823,WORLD OBJ go_lobber01_destroyed,go_lobber01_destroyed,,
824,GS_Choppa_1H_T2_03,GS_Choppa_1H_T2_03,,
825,Or_TM_1H_Choppa19,Or_TM_1H_Choppa19,,
826,Or_TM_1H_Choppa20,Or_TM_1H_Choppa20,,
827,GS_Staff_2H_T1_02,GS_Staff_2H_T1_02,,
828,Or_TL_1H_Spear10,Or_TL_1H_Spear10,,
829,WORLD OBJ qi_sk_bo_machine_01,qi_sk_bo_machine_01,,
830,WORLD OBJ qi_sk_machine_acu,qi_sk_machine_acu,,
831,WORLD OBJ qi_sk_machine_con,qi_sk_machine_con,,
832,WORLD OBJ sk_dungeon_pump,sk_dungeon_pump,,
833,WORLD OBJ qi_sk_dungeon_pipe_on,qi_sk_dungeon_pipe_on,,
834,WORLD OBJ qi_sk_dungeon_pipe_off,qi_sk_dungeon_pipe_off,,
835,WORLD OBJ sk_dungeon_throt_pukepool,sk_dungeon_throt_pukepool,,
836,,,,
837,DW_Staff_T4_02,DW_Staff_T4_02,,
838,CH_Disk_Option_03,CH_Disk_Option_03,,
839,CH_Disk_Option_02,CH_Disk_Option_02,,
840,CH_Disk_Option_01,CH_Disk_Option_01,,
841,WORLD OBJ dw_ship_ironclad01,dw_ship_ironclad01,,
842,orc_1h_axe01_throwingtest,orc_1h_axe01,,
843,ch_disk_T3_01,ch_disk_T3_01,,
844,shanghai1HD,shanghai1HD,,
845,shanghai2HD,shanghai2HD,,
846,shanghaiStaff,shanghaiStaff,,
847,shanghaiPistol,shanghaiPistol,,
848,shanghaiRifle,shanghaiRifle,,
849,CRE_KeeperSword_01,CRE_KeeperSword_01,,
850,CH_TL_2H_Sword01,CH_TL_2H_Sword01,,
851,CH_Sword_1H_T2_02,CH_Sword_1H_T2_02,,
852,CH_Staff_1H_T1_01,CH_Staff_1H_T1_01,,
853,NPC_EM_Torch_01,NPC_EM_Torch_01,,
854,CH_TL_2H_Sword01,CH_TL_2H_Sword01,,
855,CH_TL_1H_ChaosStaff01,CH_TL_1H_ChaosStaff01,,
856,EM_TL_2H_Greatsword01,EM_TL_2H_Greatsword01,,
857,CH_TL_1H_Axe01,CH_TL_1H_Axe01,,
858,CH_TL_2H_Axe01,CH_TL_2H_Axe01,,
859,CH_Sword_1H_T1_01,CH_Sword_1H_T1_01,,
860,CH_Sword_T1_1handed_03,CH_Sword_T1_1handed_03,,
861,CH_Sword_1H_T2_01,CH_Sword_1H_T2_01,,
862,CH_Sword_2H_T1_01,CH_Sword_2H_T1_01,,
863,CH_Sword_T1_2handed_03,CH_Sword_T1_2handed_03,,
864,CH_Sword_2H_T2_02,CH_Sword_2H_T2_02,,
